Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
246,5.65862506766393,45.0726423990159,0,0,0,0
247,5.38262600946314,10.9800934252488,0,0,0,0
248,5.28501998524143,6.54142165416398,0,0,0,0
249,5.45278919174598,15.4202359326325,0,0,0,0
250,4.91492990962411,1943506.57108572,0,0,0,0
251,4.91492632763493,16.2752291217374,0,0,0,0
252,5.03881882245605,34.5701034532648,0,0,0,0
253,5.25834397664062,8.54305861768785,0,0,0,0
254,5.05982021052955,11.2549426578216,0,0,0,0
255,5.22205108037838,10.2290750880037,0,0,0,0
256,5.22204642846259,7.8769064233737,0,0,0,0
257,4.73323668548846,14.7275043222122,0,0,0,0
258,5.05983060240828,16.3736186382666,0,0,0,0
259,5.47241731338067,10.7012063081054,0,0,0,0
260,5.76393444698829,12.3079257749519,0,0,0,0
261,5.31688771688005,13.0512112987889,0,0,0,0
262,5.05982981220336,29.3463888082334,0,0,0,0
263,5.00080422971814,21.8628557663422,0,0,0,0
264,5.50906254814799,13.7924450772126,0,0,0,0
265,5.22206389256689,16.3849372102724,0,0,0,0
266,5.72850728187859,21.4505481399806,0,0,0,0
267,6.08873619846804,51.3428060918598,0,0,0,0
268,5.65865233378395,23.5449797417926,0,0,0,0
269,5.19481874303528,203.034634807906,0,0,0,0
270,6.43031871114385,53.4523973686978,0,0,0,0
271,5.31688721722253,36.6948876313541,0,0,0,0
272,5.6586491818216,3958290.44116932,0,0,0,0
273,5.65864974343617,76.7730783642494,0,0,0,0
274,5.47241862308101,50.9869336660941,0,0,0,0
275,5.94932344633389,85.8671728198545,0,0,0,0
276,6.08871627728263,137.788122069956,0,0,0,0
277,5.47241089773547,83.8361083838353,0,0,0,0
278,6.63523359319674,28.805373624914,0,0,0,0
279,5.07660886214512,40.159669573821,0,0,0,0
280,5.4724091930193,40.530863617394,0,0,0,0
281,5.87263931556186,329.46381540005,0,0,0,0
282,5.14829905199372,329.425156799522,0,0,0,0
283,5.87263682604976,57.3485206065362,0,0,0,0
284,6.3052723186297,136.5715378236,0,0,0,0
285,5.31409906361364,23.2636739002009,0,0,0,0
286,6.08870041536102,48.4390998244004,0,0,0,0
287,5.19478755642695,66.0700155407585,0,0,0,0
288,5.77993274935329,18.2845624842198,0,0,0,0
289,5.658622781958,47.9725645555581,0,0,0,0
290,5.25220199516821,65.0371387101641,0,0,0,0
291,5.57692876979786,3062.93942438591,0,0,0,0
292,4.84682949039257,17.5308500677606,0,0,0,0
293,6.08868546325721,161.908094766227,0,0,0,0
294,5.31685283550883,18.2867305970832,0,0,0,0
295,6.29059648466136,5634700.01463795,0,0,0,0
296,5.71119940107678,17.3726675282835,0,0,0,0
297,5.31685495801776,33.7889473003311,0,0,0,0
298,5.77992250014358,10.3544502782644,0,0,0,0
299,5.4723852111174,6.70780132655535,0,0,0,0
300,5.00813942821719,9.79995980103258,0,0,0,0
301,6.12545027714941,11.8874118947132,0,0,0,0
302,4.15580966246148,103.632177915911,0,0,0,0
303,5.6265776764069,112.438032158059,0,0,0,0
304,4.93973224034539,48.7761753843723,0,0,0,0
305,6.11805507269651,101.229813685725,0,0,0,0
306,5.28501504912902,24.883289007883,0,0,0,0
307,4.91491394278137,6927245.32829562,0,0,0,0
308,4.91491279127831,33.8084844089542,0,0,0,0
